NAME,TEAM,GP,MIN,PTS,AST,OREB,DREB,REB,STL,BLK,TOV,PF,+/-,DD2,TD3,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%
Aaron Gordon,DEN,74,31.6,14.9,2.5,1.7,4.2,5.9,0.6,0.6,1.7,2.0,4.1,6,0,5.8,11.1,0.519,1.1,3.4,0.329,2.2,3.0,0.738
Aaron Henry,PHI,6,2.8,0.3,0.0,0.0,0.2,0.2,0.0,0.3,0.3,0.3,-3.3,0,0,0.2,0.8,0.2,0.0,0.2,0.0,0.0,0.0,0.0
Aaron Holiday,PHX,61,16.0,6.4,2.4,0.4,1.6,1.9,0.7,0.1,1.0,1.4,-0.4,0,0,2.4,5.2,0.465,0.6,1.6,0.4,0.9,1.1,0.862
Aaron Nesmith,BOS,50,10.9,3.8,0.4,0.3,1.4,1.7,0.4,0.1,0.6,1.3,0.8,0,0,1.4,3.5,0.406,0.6,2.2,0.278,0.4,0.5,0.792
Aaron Wiggins,OKC,50,24.2,8.3,1.4,1.0,2.5,3.6,0.6,0.2,1.1,1.9,-4.7,0,0,3.1,6.7,0.463,0.8,2.8,0.304,1.2,1.7,0.729
Abdel Nader,PHX,14,10.4,2.4,0.5,0.3,1.6,1.9,0.6,0.3,0.8,1.4,-0.1,0,0,0.9,2.5,0.343,0.3,1.0,0.286,0.4,0.7,0.6
Ade Murkey,SAC,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,ORL,37,12.1,3.7,0.7,0.5,1.8,2.3,0.1,0.1,0.6,1.5,-3.7,0,0,1.4,3.3,0.415,0.6,2.0,0.324,0.3,0.4,0.8
Ahmad Caver,IND,1,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,BOS,68,29.1,10.1,3.4,1.6,6.1,7.7,0.7,1.3,0.9,1.9,5.5,15,0,3.8,8.3,0.463,1.3,3.9,0.333,1.2,1.4,0.842
Alec Burks,NYK,79,28.4,11.7,2.9,0.6,4.3,4.9,1.1,0.3,1.1,2.6,1.0,2,0,3.5,9.0,0.393,1.9,4.8,0.406,2.7,3.3,0.823
Aleem Ford,ORL,5,14.7,2.8,0.4,0.4,2.6,3.0,0.2,0.0,0.8,1.4,-7.0,0,0,1.2,4.0,0.3,0.4,3.0,0.133,0.0,0.0,0.0
Aleksej Pokusevski,OKC,61,20.2,7.6,2.1,1.2,4.0,5.2,0.6,0.6,1.5,1.4,-0.7,5,1,3.0,7.5,0.408,0.9,3.2,0.289,0.6,0.8,0.7
Alex Caruso,CHI,41,28.0,7.4,4.0,0.8,2.8,3.6,1.7,0.4,1.4,2.6,2.7,1,0,2.5,6.2,0.398,1.0,3.1,0.333,1.4,1.8,0.795
Alex Len,SAC,39,15.9,6.0,1.2,1.3,2.8,4.1,0.3,0.6,1.1,2.6,-1.9,2,0,2.4,4.5,0.534,0.2,0.5,0.286,1.1,1.6,0.651
Alfonzo McKinnie,CHI,17,12.1,3.5,0.3,0.8,1.2,1.9,0.1,0.2,0.4,1.5,-3.2,0,0,1.4,3.6,0.393,0.5,1.6,0.333,0.1,0.5,0.25
Alize Johnson,NOP,23,7.3,1.8,0.4,1.2,1.4,2.7,0.2,0.0,0.5,0.8,-2.0,0,0,0.7,1.7,0.436,0.0,0.2,0.0,0.3,0.5,0.583
Alperen Sengun,HOU,70,20.3,9.5,2.5,2.0,3.5,5.5,0.8,1.0,2.0,2.9,-4.2,8,0,3.4,7.2,0.475,0.4,1.6,0.257,2.3,3.3,0.707
Amir Coffey,LAC,67,22.7,8.7,1.8,0.4,2.4,2.7,0.6,0.2,0.6,1.3,-1.3,0,0,3.0,6.6,0.446,1.3,3.6,0.365,1.5,1.7,0.861
Andre Drummond,BKN,71,19.6,7.7,1.8,3.1,6.1,9.2,1.1,0.9,1.6,2.6,0.5,16,0,3.3,5.8,0.559,0.0,0.0,0.0,1.2,2.3,0.516
Andre Iguodala,GSW,29,19.5,4.0,3.7,0.7,2.6,3.3,0.8,0.8,0.9,1.1,3.5,0,0,1.5,3.8,0.387,0.6,2.4,0.232,0.5,0.6,0.778
Andrew Wiggins,GSW,71,31.9,17.2,2.3,1.2,3.3,4.5,1.1,0.7,1.5,2.1,3.7,1,0,6.5,14.0,0.466,2.1,5.5,0.393,2.1,3.2,0.643
Anfernee Simons,POR,57,29.5,17.3,3.9,0.5,2.2,2.6,0.5,0.1,2.0,1.9,-1.5,2,0,6.2,14.0,0.443,3.1,7.8,0.405,1.8,2.0,0.888
Anthony Davis,LAL,40,35.1,23.2,3.1,2.7,7.2,9.9,1.2,2.3,2.1,2.4,-2.3,19,0,9.3,17.4,0.532,0.3,1.8,0.186,4.4,6.1,0.713
Anthony Edwards,MIN,70,34.4,21.1,3.8,0.9,4.0,4.8,1.5,0.7,2.7,2.3,2.6,4,0,7.6,17.3,0.438,3.0,8.3,0.358,3.0,3.8,0.784
Anthony Gill,WAS,42,10.2,4.0,0.5,0.7,1.1,1.8,0.1,0.3,0.3,1.3,2.0,0,0,1.4,2.3,0.588,0.3,0.6,0.542,1.0,1.2,0.8
Anthony Lamb,HOU,2,3.8,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,2.5,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Armoni Brooks,TOR,52,15.6,5.4,1.1,0.4,1.5,1.9,0.5,0.2,0.5,1.3,-1.4,0,0,1.9,5.4,0.344,1.4,4.7,0.302,0.3,0.4,0.842
Arnoldas Kulboka,CHA,1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Reaves,LAL,58,22.7,6.7,1.6,0.7,2.3,2.9,0.4,0.3,0.6,1.5,0.8,0,0,2.3,5.0,0.462,0.8,2.7,0.308,1.3,1.6,0.826
Austin Rivers,DEN,65,22.0,6.0,1.4,0.3,1.4,1.7,0.8,0.1,0.8,1.8,0.6,0,0,2.2,5.2,0.414,1.2,3.5,0.347,0.4,0.6,0.725
Avery Bradley,LAL,62,22.7,6.4,0.8,0.5,1.7,2.2,0.9,0.1,0.6,1.9,-2.9,0,0,2.4,5.6,0.423,1.3,3.4,0.39,0.3,0.3,0.889
Ayo Dosunmu,CHI,75,27.2,8.5,3.3,0.3,2.4,2.8,0.7,0.4,1.3,2.4,-2.8,4,0,3.5,6.8,0.517,0.9,2.4,0.371,0.6,0.9,0.681
BJ Johnson,ORL,4,16.1,6.5,0.0,1.5,2.3,3.8,0.0,0.3,0.0,1.0,-3.0,0,0,2.8,6.3,0.44,1.0,2.5,0.4,0.0,0.0,0.0
Bam Adebayo,MIA,55,32.6,19.0,3.4,2.5,7.7,10.1,1.4,0.8,2.7,3.1,5.3,27,0,7.2,13.0,0.557,0.0,0.1,0.0,4.5,6.0,0.752
Ben McLemore,POR,61,19.8,10.1,0.9,0.2,1.4,1.6,0.6,0.2,0.8,1.6,-4.8,0,0,3.3,8.5,0.392,2.3,6.6,0.356,1.1,1.3,0.84
Bismack Biyombo,PHX,35,13.7,5.6,0.6,1.7,2.8,4.5,0.3,0.7,0.7,1.9,1.5,6,0,2.3,3.9,0.587,0.0,0.0,0.0,1.0,1.9,0.515
Blake Griffin,BKN,56,17.1,6.4,1.9,1.1,3.0,4.1,0.5,0.3,0.6,1.7,-1.7,1,0,2.4,5.6,0.425,0.7,2.6,0.262,1.0,1.4,0.724
Boban Marjanovic,DAL,21,5.1,4.1,0.1,0.3,1.1,1.5,0.0,0.1,0.5,1.0,1.2,0,0,1.8,2.9,0.607,0.0,0.1,0.333,0.5,1.0,0.55
Bobby Portis,MIL,70,28.3,14.7,1.2,2.5,6.6,9.1,0.7,0.7,1.3,2.4,4.0,24,0,5.8,12.1,0.479,1.9,4.7,0.393,1.2,1.6,0.752
Bogdan Bogdanovic,ATL,61,29.3,14.9,3.0,0.5,3.4,3.9,1.0,0.2,1.1,2.1,2.8,0,0,5.4,12.5,0.432,2.7,7.2,0.367,1.5,1.7,0.858
Bojan Bogdanovic,UTA,68,30.9,18.0,1.8,0.9,3.4,4.3,0.5,0.0,1.7,1.7,3.6,3,0,6.1,13.4,0.456,2.6,6.7,0.389,3.2,3.8,0.855
Bol Bol,ORL,14,5.8,2.4,0.4,0.3,1.1,1.4,0.1,0.1,0.3,0.3,0.4,0,0,1.1,1.9,0.556,0.1,0.3,0.25,0.1,0.4,0.4
Bones Hyland,DEN,67,18.9,9.9,2.7,0.2,2.5,2.7,0.6,0.3,1.2,2.2,0.2,1,0,3.3,8.2,0.4,1.9,5.1,0.363,1.5,1.8,0.85
Brad Wanamaker,WAS,23,13.9,3.6,2.4,0.3,1.4,1.7,0.3,0.3,1.0,2.0,-1.9,0,0,1.2,3.3,0.364,0.2,0.7,0.235,1.0,1.1,0.92
Bradley Beal,WAS,40,36.0,23.2,6.6,1.0,3.8,4.7,0.9,0.4,3.4,2.4,-2.6,4,0,8.7,19.3,0.451,1.6,5.3,0.3,4.2,5.1,0.833
Brandon Boston Jr.,LAC,50,14.4,6.5,0.9,0.3,1.8,2.1,0.5,0.2,0.6,0.8,-1.4,0,0,2.3,6.2,0.377,0.7,2.2,0.312,1.1,1.4,0.838
Brandon Clarke,MEM,62,19.6,10.2,1.3,2.1,3.3,5.4,0.6,1.1,0.5,2.0,2.5,4,0,4.4,6.9,0.635,0.1,0.4,0.227,1.4,2.1,0.656
Brandon Goodwin,CLE,34,14.5,5.0,2.6,0.4,1.6,2.0,0.7,0.0,1.0,1.1,-1.0,1,0,1.9,4.5,0.421,0.6,1.6,0.345,0.7,1.1,0.632
Brandon Ingram,NOP,55,34.0,22.7,5.6,0.6,5.2,5.8,0.6,0.5,2.7,2.2,2.2,7,0,8.2,17.9,0.461,1.3,4.1,0.327,4.8,5.9,0.826
Brandon Knight,DAL,5,12.9,6.4,1.6,0.0,1.6,1.6,0.2,0.0,0.8,1.0,-1.2,0,0,2.0,5.0,0.4,0.8,3.4,0.235,1.6,1.6,1.0
Brandon Williams,POR,21,27.0,13.6,3.9,0.9,2.3,3.2,1.0,0.4,2.4,2.1,-9.8,2,0,4.6,12.0,0.381,1.4,4.7,0.303,3.0,4.3,0.7
Braxton Key,DET,9,17.3,6.9,0.7,1.2,3.3,4.6,0.9,1.1,0.9,2.6,3.4,0,0,2.9,6.6,0.441,0.6,1.7,0.333,0.6,1.1,0.5
